Agency Name,City,Address Line 1,MATCH_BY_CITY,MATCH_BY_ADDRESS,MATCH_BY_NAME_ONLY
SAFRAN ELECTRONICS & DEFENSE SERVICES ASIA PTE LTD,SINGAPORE,"26, CHANGI NORTH RISE",NO,,
SAFRAN ELECTRONICS & DEFENSE AVIONICS USA LLC,GRAND PRAIRIE,2802 SAFRAN DRIVE,NO,,
SAFRAN ELECTRONICS AND DEFENSE BEACONS SAS,GUIDEL,ZI DES CINQ CHEMINS,NO,,
SAFRAN HELICOPTER ENGINES,TARNOS,AVENUE DU 1ER MAI,NO,,
SAFRAN HELICOPTER ENGINES INDUSTRIA E COMERCIO DO,RIO DE JANEIRO,RUA CAPITAO GUYNEMER 1626,NO,,
SAFRAN HELICOPTER ENGINES USA INC,GRAND PRAIRIE,2709 N. FORUM DRIVE,NO,,
SAFRAN LANDING SYSTEMS,MOLSHEIM,1-9 RUE ANTOINE DE ST-EXUPERY,NO,,
SAFRAN LANDING SYSTEMS KENTUCKY LLC,WALTON,ONE CARBON WAY,NO,,
SAFRAN LANDING SYSTEMS KENTUCY LLC,MOBILE,1890 3RD STREET,NO,,
SAFRAN LANDING SYSTEMS SERVICES AMERICAS SA DE,QUERETARO,AV. LA NORIA NO 131,NO,,
SAFRAN LANDING SYSTEMS SERVICES DINARD,SAINT LUNAIRE,AEROPORT DE DINARD PLEURTUIT SAINT-,NO,,
SAFRAN LANDING SYSTEMS SERVICES SINGAPORE PTE LTD,SINGAPORE,21 LOYANG CRESCENT,NO,,
SAFRAN LANDING SYSTEMS SERVICES UK LIMITED,GLOUCESTER,CHELTENHAM ROAD EAST,NO,,
SAFRAN LANDING SYSTEMS WHEEL & BRAKE SERVICES LLC,LAS VEGAS,6461 WEST POST RD,NO,,
,GRAND PRAIRIE,2515 NORTH BELTLINE ROAD SUITE 100,NO,,
SAFRAN LANDING SYSTEMS WHEEL & BRAKE SERVICES LLC,BETHLEHEM,240 EMERY STREET,NO,,
,MIAMI,10255 NW 116TH WAY,NO,,
,MILWAUKEE,8500 WEST BRADLEY ROAD,NO,,
SAFRAN NACELLES,PONT AUDEMER,ZONE INDUSTRIELLE DE SAINT ULFRANT,NO,,
SAFRAN NACELLES SERVICES (SUZHOU) CO LTD,SUZHOU,"N º70, QIMING ROAD, DISTRICT B,",NO,,
SAFRAN NACELLES SERVICES AMERICAS LLC,PLAINFIELD,845 AIRTECH PARKWAY,NO,,
SAFRAN OIL SYSTEMS LLC,FORT MYERS,12291 TOWNE LAKE DRIVE,NO,,
SAFRAN PASSENGER INNOVATIONS LLC,BREA,3025 EAST IMPERIAL HIGHWAY,NO,,
SAFRAN POWER UNITS,TOULOUSE,CHEMIN DU PONT DE RUPE,NO,,
SAFRAN POWER UNITS SAN DIEGO LLC,SAN DIEGO,"4255 RUFFIN ROAD, SUITE 100",NO,,
SAFRAN POWER USA LLC,TWINSBURG,8380 DARROW RD,NO,,
,SARASOTA,2250 WHITFIELD AVENUE,NO,,
SAFRAN SEATS,ISSOUDUN,VILLAGE ENTREPRISES 1 – BÂT 2,NO,,
SAFRAN SEATS USA LLC,GAINESVILLE,2000 WEBER DRIVE,NO,,
SAFRAN TRANSMISSION SYSTEMS,COLOMBES,18 BOULEVARD LOUIS SEGUIN,NO,,
SAFRAN TRANSMISSION SYSTEMS POLAND SP Z OO,SEDZISZOW,UL. PARTYZANTOW 29,NO,,
SAFRAN VENTILATION SYSTEMS,BLAGNAC,10 PLACE MARCEL DASSAULT,NO,,
SAFRAN VENTILATION SYSTEMS USA LLC,EVERETT,7501 HARDESON ROAD,NO,,
SAFT AMERICA INC,VALDOSTA,711 GIL HARBIN INDUSTRIAL BLVD.,NO,,
SAHAR GROUP LLC,MIAMI GARDENS,15600 NW 15TH AVENUE,NO,,
SAI FLIGHT SERVICES INC,GREER,2106 GSP DRIVE,NO,,
SAI FLIGHT SUPPORT LLC,GREENVILLE,1 AVIATION LANE,YES,,
SAINT LOUIS UNIVERSITY,CAHOKIA HEIGHTS,ST. LOUIS DOWNTOWN AIRPORT,NO,,
SAINT-GOBAIN PERFORMANCE PLASTICS CORPORATION,RAVENNA,335 N. DIAMOND ST.,NO,,
SAINT-GOBAIN SULLY,SULLY SUR LOIRE,"16, ROUTE D' ISDES",NO,,
SAL AEROSPACE TECHNOLOGIES INC,MIAMI,11990 SW 128TH STREET,NO,,
SALAIKA AVIATION LLC,DANBURY,1111 OLD RANCH ROAD,NO,,
SALUS AVIATION AW LIMITED,ARDMORE,487 AIRFIELD ROAD,NO,,
SAM AERO AB,STOCKHOLM-ARLANDA,ARLANDA AIRPORT GATE 65 GROUND FLOO,NO,,
SAM GMBH,BAD TOELZ,"SITECPARK 1,",NO,,
SAMCO AIRCRAFT MAINTENANCE,BEEK,HORSTERWEG 19,NO,,
SAMS ELECTRONIC TECHNOLOGIES INC,CHULA VISTA,1040 COLORADO AVENUE,NO,,
SAN ANTONIO AVIATION INC,SAN ANTONIO,8337 MISSION ROAD,NO,,
SAN ANTONIO PROPELLER SERVICE INC,SAN ANTONIO,234 W. TURBO,NO,,
SAN LUIS AVIONICS INC,SAN LUIS OBISPO,"4339 SANTA FE ROAD, #48",YES,,
SAN TAN AVIATION L L C,CHANDLER,224 EAST CHILTON DRIVE,NO,,
SAND SEA AND AIR INTERIORS INC,SAN JUAN,716 CALLE BOLIVAR,NO,,
SANDIA AEROSPACE CORPORATION,ALBUQUERQUE,3700 OSUNA ROAD NE,NO,,
SANDY VALLEY AVIONICS,JEAN,709 SARATOGA AVE.,NO,YES,
SANSAA AIRCRAFT PARTS AND SERVICES CORP,MIAMI,2541 N.W. 74TH AVENUE,NO,,
SARASOTA AVIONICS INC,LANTANA,2633 LANTANA ROAD,NO,,YES
,TAMPA,845 SEVERN AVENUE,NO,,
,SARASOTA,8191 N. TAMIAMI TRAIL,NO,,
,PUNTA GORDA,"27220 AIRPORT ROAD, BLDG. 211",NO,,
,VENICE,120 WEST AIRPORT AVE,NO,,
SARGENT CONTROLS AND AEROSPACE,TUCSON,5675 WEST BURLINGAME,NO,,
SAS PAUL LOPEZ,TARNOS,ESPACE TECHNOLOGIQUE JEAN BERTIN,NO,,
SAS PENNSYLVANIA INC,PHILADELPHIA,3076 RED LION RD.,NO,,
SATAIR PRIVATE LIMITED,SINGAPORE,12 SELETAR AEROSPACE LINK,NO,,
SATAIR UK LIMITED,"FELTHAM, MIDDLESEX","UNIT 3, SPACE WAYE",NO,,
SATAIR USA INC,MIAMI,11255 NW 106 STREET,NO,,
SATCO EMEA FZE,DUBAI,RA08NA01,NO,,
SATCO INC,LOVELAND,457 WARDS CORNER,NO,,
,EL SEGUNDO,145 KANSAS STREET,NO,,
,LOUISVILLE,4501 E INDIAN TRAIL,NO,,
,MEMPHIS,3090 DEMOCRAT ROAD,NO,,
,INDIANAPOLIS,4221 SOUTH HIGH SCHOOL ROAD,NO,,
SATNAN AVIONICS,SIOUX FALLS,701 WEST NATIONAL GUARD DRIVE,YES,,
SATORI,LOUVRES,2 AVENUE DU NOYER A LA MALICE,NO,,
SAUDIA ARABIAN AIRLINES SAUDIA AEROSPACE ENGINEERI,JEDDAH,KING ABDUL AZIZ INTERNATIONAL AIRPO,NO,,
SAUTER BACHMANN AG,NETSTAL,ERLENWEG,NO,,
SAVAGE AVIATION LLC,HAYWARD,21593 SKYWEST DR,NO,,
SC ACCESSORIES LLC,FORT LAUDERDALE,5250 NW 33RD AVENUE SUITE C,NO,,
SC AVIATION INC,JANESVILLE,1116 W. ENDEAVOR DR.,NO,,
SCANAVIATION A/S,KASTRUP,AMAGER LANDEVEJ 147 B,NO,,
SCANDINAVIAN AIRLINE SYSTEM-DENMARK-NORWAY-SWEDEN,STOCKHOLM,STOCKHOLM ARLANDA AIRPORT,NO,,
SCANDINAVIAN AVIATION ACADEMY INC,EL CAJON,1825 NORTH MARSHALL AVE.,NO,,
SCANDINAVIAN AVIONICS A S,BILLUND,STRATUSVEJ 9,NO,,
SCHAEFFLER AEROSPACE BEARINGS (TAICANG) CO LTD,TAICANG,NO. 69 YANSHAN ROAD,NO,,
SCHAEFFLER AEROSPACE GERMANY GMBH & CO KG,SCHWEINFURT,GEORG SCHAFER STRASSE 30,NO,,
SCHAEFFLER AEROSPACE USA CORPORATION,DANBURY,200 PARK AVENUE,NO,,
SCHUMAN AVIATION COMPANY LTD,HONOLULU,130 IOLANA PLACE,NO,,
SCHWEIZER RSG LLC,FORT WORTH,2828 N. NICHOLS ST.,NO,,
SCI TECHNOLOGY INC,HUNTSVILLE,13000 SOUTH MEMORIAL PARKWAY,NO,,
SCIENCE AND ENGINEERING SERVICES INC,HUNTSVILLE,248 DUNLOP BOULVARD,NO,,
SCIOTEQ,KORTRIJK,PRESIDENT KENNEDYPARK 35 A,NO,,
SCOTT RICHARD AIRCRAFT MAINTENANCE LLC,ALLENTOWN,600 HAYDEN CIRCLE,NO,,
SCOTT'S HELICOPTER SERVICES INC,LE SUEUR,780 S. ELMWOOD AVENUE,NO,,
SCOTT'S PRO UPHOLSTERY & TRIM INC,JACKSONVILLE,4609 WESCONNET BLVD.,NO,,
SCR LEATHER CORP,WEST PALM BEACH,1721 DONNA RD.,NO,,
SEABOARD TANK SYSTEMS INC,RONKONKOMA,LONG ISLAND MACARTHUR AIRPORT,NO,,
SEALCO INTERNATIONAL INC,MACON,2405 LIBERTY CHURCH RD.,NO,,
SEAPLANE SERVICES INC,LINO LAKES,6980 LAKE DRIVE,YES,,
SEAPLANES NORTH LLC,ANCHORAGE,3830 AIRCRAFT DRIVE,NO,,
SEAT AIR SYSTEMS INC,VAN NUYS,7701 WOODLEY AVENUE  SUITE 100,NO,,
SEATSOURCE LLC,GREENSBORO,3408 WEST WEDOVER AVE.,NO,,
SEAVIEW AVIATION LLC,CAMARILLO,265 DURLEY AVENUE,NO,,
SEBASTIAN COMMUNICATIONS INC,MERRITT  ISLAND,473 MANOR DRIVE,NO,,
SECONDO MONA SPA,SOMMA LOMBARDO,VIA CARLO DEL PRETE  1,NO,,
SECURAPLANE TECHNOLOGIES INC,ORO VALLEY,12350 N. VISTOSO PARK ROAD,NO,,
SEFEE,SAINT AFFRIQUE,ZONE INDUSTRIELLE DES CAZES,NO,,
SEGERS AERO CORPORATION,FAIRHOPE,8100 MCGOWIN DRIVE,NO,,
SELECT AVIONICS,MCKINNEY,1500 EAST INDUSTRIAL BLVD.,YES,,
SELKEN ENTERPRISES INC,CHICO,108 BOEING AVENUE,NO,,
SELKIRK AVIATION INC,HAYDEN,10740 NORTH AERO DRIVE #501,NO,,
SEMIPLANE LLC,CRESSON,112 CITATION DRIVE,YES,,
SENIOR AEROSPACE ERMETO SAS,FOSSE,LOIR-ET-CHER,NO,,
SENIOR AEROSPACE KETEMA,EL CAJON,"790 GREENFIELD DRIVE, BUILDING #16",NO,,
SENIOR OPERATIONS LLC,SHARON,1075 PROVIDENCE HIGHWAY,NO,,
SENSENICH PROPELLER SERVICE INC,LITITZ,519 EAST AIRPORT ROAD,NO,,
,GAINESVILLE,1245 PALMOUR PLACE SUITE A,NO,,
SENSENICH WOOD PROPELLER COMPANY INC,PLANT CITY,2008 WOOD COURT,NO,,
SENSOR SYSTEMS INC,CHATSWORTH,8929 FULLBRIGHT AVENUE,NO,,
SENSORLAB INC,SARASOTA,"7353 INTERNATIONAL PLACE, SUITE 305",NO,,
SEPANG AIRCRAFT ENGINEERING SDN BHD,SEPANG,"LOT PT 16, JALAN KLIA S7",NO,,
SERMA INGENIERIE,CORNEBARRIEU,RUE DE L'AUSSONNELLE,NO,,
SERVAT,LIEUSAINT,524 AVENUE MARGUERITE PEREY,NO,,
SERVICE AERO SOLUTIONS LLC,MARANA,8135  WEST TANGERINE RD.,NO,,
SERVICE ELECTRONIC AVIATION MARINE SARL,AIX-EN-PROVENCE,1070 RUE DU LIEUTENANT PARAYRE,NO,,
SERVICIO DE ELECTRONICA,LIMA,AV. CORONEL EDMUNDO AGUILAR S/N,NO,,
SERVICIO DE MANTENIMIENTO DEL PERU SAC,LIMA,AV. COR EDMUNDO AGUILAR PASTOR S/N,NO,,
SERVICIO TECNICO AEREO DE MEXICO S A DE C V,MEXICO CITY,"HANGAR 10, ZONA “G” DE HANGARES.",NO,,
SERVICIOS AEREOS ACROSS SA DE CV,TOLUCA,AEROPUERTO INTERNACIONAL DE TOLUCA,NO,,
SERVICIOS AEREOS CORPORATIVOS SA DE CV,TLAJUMULCO DE ZUNIGA,"HANGAR 1, AEROPUERTO INTERNACIONAL",NO,,
SERVICIOS AERONAUTICOS ESPECIALIZADOS,COCHABAMBA,1691 KYLLMAN AVE.,NO,,
SERVICIOS AERONAUTICOS QUINTANA SA SAQ MRO,SALTILLO,"CARRETERA SALTILLO-MONTERREY, KM 13",NO,,
SERVICIOS AERONAUTICOS SAB,APODACA,JARDINES DE LA PRIMAVERA 1165,NO,,
SERVITEC MANTENIMIENTO AERONAUTICO SA,AEROPUERTO DE ZARAGOZA,PLATAFORMA DE AVIACIÓN GENERAL ESTE,NO,,
SERVO VALVE TECHNOLOGY LLC,MONROE,2715 GRAY FOX RD,NO,,
SERVOTRONICS INC,ELMA,1110 MAPLE STREET,NO,,
SETNA PARTSLAB LLC,LINCOLNSHIRE,475 BOND ST.,NO,,
SETNIX LLC,TEMPE,402 WEST FAIRMONT DRIVE,NO,,
SETNIX LTD,ALBANS,NIT 17 BRICK KNOLL PARK,NO,,
SETSCO SERVICES PTE LTD,SINGAPORE,20 CHANGI NORTH CRESCENT,NO,,
SEVIER COUNTY CHOPPERS INC,SEVIERVILLE,1255 AIRPORT ROAD,NO,,
SF AVIATION PTY LTD,BANKSTOWN AIRPORT,HANGAR 14,NO,,
SGS AERONAUTICS,LES SORINIERES,16 RUE DES CLAIRIERES,NO,,
SGS TECNOS SA,MADRID,CALLE TRESPADERNE 29,NO,,
SHADIN AVIONICS,EDEN PRAIRIE,7555 MARKET PLACE DRIVE,NO,,
SHAFI ENTERPRISES LLC,OXNARD,1601 W 5TH STREET,NO,,
SHANDONG XIANGYU AVIATION TECHNOLOGY SERVICE CO,JINAN,1799 HUA'OU ROAD,NO,,
SHANGHAI AML AVIATION TECHNOLOGIES CO LTD,SHANGHAI,NO. 1259 JINDU ROAD,NO,,
SHANGHAI DONGSHI AERO EQUIPMENT & ENGINEERING CO,SHANGHAI,"BUILDING #4 NO. 1076 WULIU AVENUE,",NO,,
SHANGHAI HANGXIN AERO-MECHANICS COMPANY LIMITED,SHANGHAI,NO. 168 JINWEN ROAD,NO,,
SHANGHAI JET BUSINESS AVIATION MANAGEMENT CO LTD,SHANGHAI,"NO. 99, YINBIN SEVEN ROAD",NO,,
SHANGHAI PRATT & WHITNEY AIRCRAFT ENGINE MAINTENA,SHANGHAI,"NO. 8, BLOCK 1, 8228 BEI QING ROAD",NO,,
SHANGHAI TAIKOO AIRCRAFT ENGINEERING SERVICES CO,SHANGHAI,AREA C3 - ROOMS 110/114/115/116/117,NO,,
SHANGHAI TECHNOLOGIES AEROSPACE COMPANY LIMITED,SHANGHAI,NO. 663 AIRPORT NO. 3 ROAD,NO,,
SHANGHAI Z&H AERO TECHNOLOGY CO LTD,QINGPU,BUILDING 5,NO,,
SHANNON AIRCRAFT MOTOR WORKS LTD,SHANNON,WORLD AVIATION PARK,NO,,
SHARE-A-PLANE LLC,FORT LAUDERDALE,3055 NW 60TH STREET,NO,,
SHARKEY'S HELICOPTERS INC,WEST LEBANON,56 AIRPORT ROAD.,NO,,
SHARP AVIATION K INC,INCHEON,AACT CARGO TERMINAL 2 60,NO,,
SHARP DETAILS LLC D/B/A PRIME APPEARANCE,SUGAR LAND,3 SUGAR CREEK CENTER BLVD.,NO,,
SHARP TECHNICS K CO LTD,INCHEON,272 GONGHANG-RO,NO,,
SHAWVER AVIATION LLC,KNOXVILLE,1770 S. LINCOLN STREET,NO,,
SHENANDOAH AVIONICS LLC,WEYERS CAVE,"63 AVIATION CIRCLE, SUITE 108",NO,,
SHENYANG NORTHERN AIRCRAFT AND ENGINEERING COLTD,SHENYANG,SHENYANG NORTHERN AIRCRAFT AND ENGI,NO,,
SHERWOOD AVIONICS AND ACCESSORIES,OPA-LOCKA,4690 N.W. 128 ST. ROAD,NO,,
SHIELDS AVIATION LLC,PETERSBURG,6775 BECK CHAPPELL DR,NO,,
SHIER AVIATION CORP,SAN DIEGO,"3753 JOHN J MONTGOMERY DRIVE, SUITE",NO,,
SHIMADZU PRECISION INSTRUMENTS INC,LONG BEACH,3645 N. LAKEWOOD BLVD.,NO,,
SHL SERVO SYSTEMS ISRAEL AEROSPACE INDUSTRIES (IAI,LOD,SHL SERVO SYSTEMS ISRAEL AEROSPACE,NO,,
SHORT BROTHERS PLC,BELFAST,AIRPORT ROAD,NO,,
SHRIKE AERO LLC,BROKEN ARROW,6721 SOUTH 256TH EAST AVE.,NO,,
SHUTZBAUGH JOHN R,VACAVILLE,146 DEERGLEN CIRCLE,NO,,
SIA ENGINEERING COMPANY LTD,SINGAPORE,SIA ENGINEERING COMPANY HANGAR,NO,,
SIA ENGINEERING PHILIPPINES CORPORATION,CLARK FREEPORT ZONE,A. BONIFACIO AVENUE,NO,,
SIA ENGINEERING USA INC,LOS ANGELES,SIA ENGINEERING USA INC,NO,,
SIASA AIR INTERIOR SERVICES SA DE CV,LEON,JOSE MARIA RUIZ #223 LAS TROJES,NO,,
SICHUAN AIRCRAFT MAINTENANCE ENGINEERING CO LTD,CHENGDU,NORTH SHUANGLIU INTERNATIONAL AIRPO,NO,,
SICHUAN AOTE ACCESSORIES REPAIR CO LTD,CHENGDU,NO.1 KE YUAN NAN ROAD,NO,,
SICHUAN HAITE HIGH TECH COMPANY LTD,CHENGDU,NO. 1 KEYUAN NAN ROAD,NO,,
SICHUAN SERVICES AERO ENGINE MAINTENANCE CORP LTD,CHENGDU CITY,NO. 66 LIANJIAN ROAD,NO,,
SIEMENS SAS,BUC,697 RUE DE FOURNY,NO,,
SIERRA AERO LLC,TRUCKEE,10356 TRUCKEE AIRPORT RD. HANGAR #1,YES,,
SIERRA AIR SERVICES INC,SWANTON,11411 WEST AIRPORT SERVICE ROAD,NO,,
SIERRA NEVADA COMPANY LLC,VANDALIA,3214 OLD SPRINGFIELD ROAD,NO,,
,ENGLEWOOD,8165 S. WALLACE COURT,NO,,
,FORT WALTON BEACH,638 ANCHORS ST NW,NO,,
,HAGERSTOWN,18635 JARKEY DRIVE,NO,,
SIERRA NEVADA COMPANY LLC,FAYETTEVILLE,3139 DOC BENNETT ROAD,NO,,
SIERRACIN/SYLMAR CORPORATION,SYLMAR,12780 SAN FERNANDO ROAD,NO,,
SIFCO APPLIED SURFACE CONCEPTS LLC,HOUSTON,7620 BLUFF POINT DRIVE,NO,,
,INDEPENDENCE,5708 EAST SCHAAF RD.,NO,,
SIFCO APPLIED SURFACE CONCEPTS LLC,EAST WINDSOR,22 THOMPSON ROAD,NO,,
SIGMA TEK INC,AUGUSTA,1001 INDUSTRIAL ROAD,NO,,
SIGNATURE AEROSPACE INC,MARIETTA,"1343 TERRELL MILL ROAD, SE",NO,,
SIGNATURE ENGINES,CINCINNATI,"4760 AIRPORT ROAD, HANGAR #6, #7",NO,,
SIGNATURE FLIGHT SUPPORT CORPORATION,BELGRADE,456 WINGS WAY,NO,,
SIGNATURE FLIGHT SUPPORT LLC,FRESNO,4885 E. SHIELDS AVE.,NO,,
,GREENSBORO,PIEDMONT TRIAD INTERNATIONAL AIRPOR,NO,,
,OMAHA,3636 WILBUR PLAZA,NO,,
,WINSTON-SALEM,3901 N. LIBERTY ST.,NO,,
,SAINT PAUL,529 EATON STREET,NO,,
SIGNATURE FLIGHT SUPPORT LLC,GRAND RAPIDS,5500 44TH STREET SE,NO,,
SIGNATURE PLATING LTD,CIBOLO,1135 GUADALUPE DRIVE,NO,,
SIKORSKY AIRCRAFT CORPORATION,DALLAS,1727 SOUTH MAIN STREET,NO,,
SIKORSKY AIRCRAFT CORPORATION OVERHAUL AND REPAIR,SHELTON,33 PLATT ROAD,NO,,
SIKORSKY AIRCRAFT CORPORATION-COMMERCIAL FLIGHT OP,STRATFORD,6900 MAIN STREET,NO,,
SIKORSKY AIRCRAFT CUSTOMER SVC AND COMPLETION CNTR,JUPITER,17900 BEELINE HIGHWAY,NO,,
SIKORSKY COMMERCIAL INC,TRUMBULL,116 QUARRY ROAD,NO,,
SILEAN LLC,TREMONTON,1095 NORTH 2430 WEST,NO,,
SILLER HELICOPTERS LLC,YUBA CITY,1250 SMITH ROAD,NO,,
SILVER SKY LLC,WASILLA,6300 W AVIATION AVE,NO,,
SILVER WINGS AEROSPACE INC,PRINCETON,25400 SW 140 AVENUE,NO,,
SIMMONDS PRECISION PRODUCTS INC,VERGENNES,100 PANTON ROAD,NO,,
SIMS AVIATION INC,CARROLLTON,3333 EARHART DRIVE,YES,,
SINGAPORE AERO ENGINE SERVICES PRIVATE LIMITED,SINGAPORE,11 CALSHOT ROAD,NO,,
SINGAPORE COMPONENT SOLUTIONS PTE LTD,SINGAPORE,11 SELETAR AEROSPACE LANE,NO,,
SINO JET (BEIJING)CO LTD,BEIJING,NO. 5 CARGO ROAD,NO,,
SIRIO SPA,MILANO,"VIALE DELL'AVIAZIONE, 65",NO,,
SKF AERO BEARING SVC CENTER A UNIT OF SKF USA INC,LADSON,8701 PALMETTO COMMERCE PARKWAY SUIT,NO,,
SKF AEROENGINE FRANCE,VALENCIENNES,"6-8 RUE DACQUIN, Z.I. NO 2",NO,,
SKF INDUSTRIE SPA (SKF AVIO),VILLAR PEROSA,"VIA DANTE ALIGHIERI, 6",NO,,
SKURKA AEROSPACE INC,CAMARILLO,4600 CALLE BOLERO,NO,,
SKY ADVENTURES,OXFORD,4191 LOCUST VALLEY LANE,NO,,
SKY AIRCRAFT MAINTENANCE LLC,LEXINGTON,1773 AVIATION WAY,YES,,
SKY BROKER AVIATION LLC,SANFORD,4251 TARMAC WAY,NO,,
SKY HELICOPTERS INC,GARLAND,2559 SOUTH JUPITER ROAD,NO,,
SKY HIGH HOT AIR BALLOONS,HASTINGS,1111 WEST STATE RD,NO,,
SKY NDT INC,MIAMI,8512 NW 66TH STREET,NO,,
SKY SAILING INC,WARNER SPRINGS,31930 HIGHWAY 79,NO,,
SKY TECH INC,WESTMINSTER,CARROLL COUNTY REGIONAL AIRPORT,NO,,
SKY X AIRCRAFT SERVICES LLC,HAMMOND,705 INDUSTRIAL PARK RD,NO,,
SKY-LINE AIRCRAFT INTERIORS LLC,ONTARIO,2101 S. HELLMAN AVE. SUITE E,NO,,
SKY-PAXXX INTERIOR REPAIRS LLC,JACKSONVILLE,2155 ELLIS ROAD NORTH,NO,,
SKYBORNE AIRLINE ACADEMY INC,VERO  BEACH,3530 CHEROKEE DRIVE,NO,,
SKYCOM AVIONICS INC,WAUKESHA,2441 AVIATION DRIVE,YES,,
SKYELITE AVIATION REPAIR CORP,KISSIMMEE,600 E. DONEGAN AVE. BAY 501,NO,,
SKYKING AVIATION,CANTON,8550 N. LILLEY ROAD,NO,,
SKYLINE ACCESSORIES LLC,SAND SPRINGS,11315 W. 57TH PL. S.,NO,,
SKYLINE AIRCRAFT AVIONICS DIVISION,NAMPA,3403 AIRPORT RD,NO,,
SKYLOCK INDUSTRIES INC,AZUSA,1290 W. OPTICAL DRIVE,NO,,
SKYONE AEROSPACE LLC,SPOKANE VALLEY,10305 E. BUCKEYE LANE,NO,,
SKYQUEST AVIATION LLC,GLENDALE,6575 NORTH GLEN HARBOR BLVD.,NO,,
SKYSMART MRO LIMITED,GREAT DUNMOW,12 FLITCH INDUSTRIAL ESTATE,NO,,
SKYSOURCE AVIATION LLC,BILLINGS,2400 OVERLOOK DRIVE,NO,,
SKYTEAM INTERNATIONAL COMPANY,PLANTATION,6851 W. SUNRISE BLVD.,NO,,
SKYTEC,DOYLESTOWN,4316 MECHANICSVILLE RD.,NO,,
SKYTECH AEROSPACE LLC,MEDLEY,8870 NW 102ND STREET,NO,,
SKYTECH AVIATION INC,OAKLAND PARK,4100 N.W. 10TH AVE. #101,NO,,
SKYTECH INC,ROCK HILL,580 AIRPORT ROAD,YES,,
SKYVISTA AVIONICS LLC,MARYSVILLE,760 CLYMER RD,NO,,
SKYWARRIOR AVIONICS INC,PENSACOLA,4137 MAYGARDEN ROAD,YES,,
SKYWAYS TECHNICS A/S,SONDERBORG,LUFTHAVNSVEJ 1B,NO,,
SKYWAYS TECHNICS ASIA SDN BHD,SUBANG,"LOT 5-11, EX-CUSTOMS BUILDING, HELI",NO,,
SKYWHEELS LIMITED,ALTRINCHAM,"UNITS D2, D3, & D4, TUDOR ROAD.",NO,,
SKYWORLD AVIONICS LLC,MIDLAND,5060 AIRPORT RD,YES,,
SLATE AEROTECH LLC,MACON,MIDDLE GEORGIA REGIONAL AIRPORT (MC,NO,,
SLOANS AIRCRAFT WELDING,ANCHORAGE,9550 HOMESTEAD TRAIL,NO,,
SM AEROSPACE SPECIALTIES LLC,CHINO VALLEY,6600 NORTH CHATO DR.,NO,,
SMART AIRPARTS PC,ATLANTA,3984 AVIATION CIRCLE NW,NO,,
SMART AVIONICS INC,MARIETTA,186 AIRPORT ROAD,YES,,
SMC AVIATION INC,FARMINGDALE,8200 HANGAR 43,NO,,
SMITH AND SMITH AIRCRAFT INTERNATIONAL LTD,WICHITA,3738 W. 29TH ST. SOUTH,NO,,
SMITHS AEROSPACE LIMITED,HARLOW,"INTERSTATE HOUSE, HORSECROFT ROAD",NO,,
SMITHS INTERCONNECT INC,TAMPA,4726 EISENHOWER BLVD,NO,,
SMITHS TUBULAR SYSTEMS LACONIA,LACONIA,144 LEXINGTON DRIVE,NO,,
SMOOTH LANDINGS LLC,EL RENO,2735 M & K LANE,NO,,
SMR ACQUISITION LLC,FENWICK,93 NETTIE FENWICK ROAD,NO,,
SNOHOMISH FLYING SERVICE INC,SNOHOMISH,9906 AIRPORT WAY BLDG 20,NO,,
SO CALIF EDISON CO A/C OPERATIONS,CHINO,7000 MERRILL AVENUE,NO,,
SOBEC AIRCRAFT MAINTENANCE LLC,NASHVILLE,1480 MURFREESBORO PIKE,NO,,
SOCAL JET SERVICES INC,LONG BEACH,3225 N LAKEWOOD BLVD,NO,,
SOCAL JETS INC,VAN NUYS,7035 SOPHIA AVENUE,YES,,
SOCAL MRO LLC,CHINO,7000 MERRILL AVE.,NO,,
SOCIETE AIR FRANCE,ROISSY EN FRANCE,45 RUE DE PARIS,NO,,
SOCIETE D'ETUDES ET DE CONSTRUCTIONS AERO NAVALES,GENNEVILLIERS,23 RUE DU 19 MARS 1962,NO,,
SOCIETE DETUDES ET DE REALISATIONS DE MACHINES TOU,CHABRIS,LE TERTRE DES PLANTES,NO,,
SOCIETE NOUVELLE SIBA,TRELIVAN,AERODROME DE DINAN TRELIVAN,NO,,
SOFTWARE DEVELOPMENT ALTERNATIVES INC,MAYER,11500 HACKBERRY RD.,NO,,
SOGECLAIR AEROSPACE SAS,TOULOUSE,5 RUE DE CAULET,NO,,
SOLOY HELICOPTERS LLC,WASILLA,3800 W. AVIATION AVE.,NO,,
SONACA SA,GOSSELIES,ROUTE NATIONALE CINQ,NO,,
SONIC AEROSPACE INC,CHANDLER,7419 W. BOSTON,NO,,
SONICO INC,MOSES LAKE,6464 PATTON BOULEVARD NE,NO,,
SONIQ AEROSPACE LP,PACIFIC,175 ROY ROAD SW,NO,,
SONORA AVIONICS INC,TUCSON,"6330 AVIATOR LANE, HANGAR B",NO,,
SOS AERO AND AVIONICS LLC,LAURENS,3985 TORRINGTON ROAD,NO,,
SOUNDAIR REPAIR GROUP LLC,"SNOHOMISH, WA",1826 BICKFORD AVENUE,NO,,
SOUTH AIR HELICOPTERS INC,PEARLAND,17402 COUNTY ROAD 127,NO,,
