Agency Name,City,Address Line 1,MATCH_BY_CITY,MATCH_BY_ADDRESS,MATCH_BY_NAME_ONLY
AERO CORPORACION AZOR SA DE CV,CIENEGA DE FLORES,AEROPUERTO INTERNACIONAL DEL NORTE,NO,,
AERO DEPOT LLC,DORAL,7801 NW 29TH ST.,NO,,
AERO DESIGN AND MANUFACTURING INC,PHOENIX,3409 EAST WOOD STREET,NO,,
AERO DESIGN DWC-LLC,"DUBAI SOUTH, DUBAI",AVIATION SUPPLY CHAIN UNIT 08,NO,,
AERO DIENST GMBH,NÜRNBERG,NURNBERG - AIRPORT,NO,,
AERO DYNAMIX INC,EULESS,3227 W. EULESS BLVD. SUITE 100,YES,,
AERO ELECTRONIC MALTER GMBH & CO KG,HERZOGENAURACH,AM BIRKENBUHL 1,YES,,
AERO ENGINEERING SUPPORT LLC,KISSIMMEE,3601 COMMERCE BLVD.,NO,,
AERO ENGINES IRELAND LIMITED,DUBLIN,COLLINSTOWN CROSS,NO,,
AERO FABRICATORS INC,LYONS,1216 NORTH ROAD,NO,,
AERO FORCE BALLOONS REPAIR STATION,SIMPSONVILLE,963 POUNDS LANE,NO,,
AERO FX INC,CRESTVIEW,5545 JOHN GIVENS ROAD,NO,,
AERO GROUP SA,LA CHAUX-DE-FONDS,"56B, BOULEVARD DES EPLATURES",YES,,
AERO HYDRAULICS INC,PEACHTREE CITY,211 FULTON COURT,NO,,
AERO INDUSTRIES INC,RICHMOND,5745 HUNTSMAN ROAD,YES,,
AERO INSPECTION INTERNATIONAL LIMITED,SHANNON,UNIT 2 DISTRIBUTION CENTRE,NO,,
AERO INSTRUMENTS AND AVIONICS INC,DEPEW,3332 WALDEN AVENUE,NO,,
AERO INTELLIGENCE LTD,KANSAS CITY,7505 NW TIFFANY SPRINGS PKWY,NO,,
AERO INTERIOR MAINTENANCE INC,COLWICH,19922 W. 29TH N.,NO,,
AERO MACH LABS INC,WICHITA,"AERO-MACH LABS, INC.",NO,,
AERO MAINTENANCE INC,VANCOUVER,101 E RESERVE ST.,YES,,
AERO MARINE INTERIOR INC,MIAMI LAKES,14000 N.W. 58TH COURT,NO,,
AERO NASCH AVIATION INC,VAN NUYS,6849 HAYVENHURST AVE.,NO,,
AERO NET HOLDING,GLOMEL,PARC D'ACTIVITES DE GOPEREN,NO,,
AERO NORWAY AS,SOLA,STAVANGER AIRPORT,NO,,
AERO PARTS MANUFACTURING AND REPAIR INC,RIO RANCHO,"AEROPARTS MANUFACTURING AND REPAIR,",NO,,
AERO PERFORMANCE SPECIALTIES,LA VERNE,1395 FAIRPLEX DR. UNIT A7,NO,,YES
,CHINO,7000 MERRILL AVENUE,NO,,
AERO PRECISION REPAIR AND OVERHAUL COMPANY INC,DEERFIELD BEACH,580 S. MILITARY TRAIL,NO,,
AERO PRO AVIONICS,"ELYRIA,",10800 MIDDLE AVENUE,NO,,
AERO PRO LLC,SAN BERNARDINO,255 SOUTH LELAND NORTON WAY,NO,,
AERO PRODUCTS COMPONENTS SERVICES INC,SHOW LOW,551 NORTH 40TH STREET,NO,,
AERO PROPELLER COMPANY INC,HEMET,4200 WALDON WEAVER ROAD,NO,,
AERO PROPULSION SUPPORT INC,HARRISON,108 MAY DRIVE,NO,,
AERO REPAIRS INC,MIAMI,7820 NW 56TH STREET,NO,,
AERO SEKUR S P A,APRILIA,"VIA DELLA MECCANICA, 12",NO,,
AERO SENSE CORPORATION,VALENCIA,26074 AVENUE HALL,NO,,
AERO SERVICES CENTER LLC,SANTA FE,109 AVIATION DR.,NO,,
AERO SERVICIOS ESPECIALIZADOS DEL NORESTE SA DE,,,NO,,
AERO SHADE TECHNOLOGIES INC,,,NO,,
AERO SPACE CONTROLS CORP,WICHITA,1050 N MOSLEY,NO,,
AERO SPACE POWER KFT,KISVÁRDA,TEMESVÁRI UTCA 17,NO,,
AERO STAR AVIATION,DALLAS,8405 LEMMON AVE.,NO,,
AERO STATION BALLOONS LLC,BEAVERCREEK,897 WINESAP DRIVE,NO,,
AERO STRUCTURAL SERVICES LLC,PEARLAND,3806 FM 1128,NO,,
AERO SUPPORT ENGINEERING,KENNESAW,975 COBB PLACE BLVD. NW,NO,,
AERO SYSTEMS LLC,GRAPEVINE,201 N. DOOLEY ST.,YES,,
